Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Customer Reference,Quantity 1,Description
UE27AC54100-ND,AMPHENOL COMMERCIAL PRODUCTS,UE27AC54100,CONN2,1,CONN RCPT USB TYPE A R/A GOLD
IFX91041EJ V50INCT-ND,INFINEON TECHNOLOGIES (VA),IFX91041EJ V50,IC2,1,IC REG BUCK 5V 1.8A DS08-27
568-5306-1-ND,NXP SEMICONDUCTORS (VA),"PCF8523T/1,118",IC1,1,IC RTC CLK/CALENDAR I2C 8-SOIC
728-1074-1-ND,SEIKO INSTRUMENTS (VA),SC32S-7PF20PPM,XTAL1,1,CRYSTAL 32.7680KHZ 7PF SMD
BK-885-CT-ND,MEMORY PROTECTION DEVICES (VA),BK-885-TR,BAT100,1,HOLDER COIN CELL 12MM SMD
SRN1060-470MCT-ND,BOURNS INC (VA),SRN1060-470M,L1,1,FIXED IND 47UH 2.5A 110 MOHM SMD
493-6184-1-ND,NICHICON (VA),UCD1H470MCL6GS,C4,1,CAP ALUM 47UF 50V 20% SMD
RB050L-60TE25CT-ND,ROHM SEMICONDUCTOR(VA),RB050L-60TE25,D4,1,DIODE SCHOTTKY 60V 3A PMDS
641-1348-5-ND,COMCHIP TECHNOLOGY,DF204S-G,BR1,1,RECT BRIDGE GPP 400V 2A DFS
732-4982-1-ND,WURTH ELECTRONICS INC (VA),150080BS75000,LED1,1,WL-SMCW SMD CHIP LED WATERCLEAR
LL4148FSCT-ND,FAIRCHILD SEMICONDUCTOR (VA),LL4148,"D1,D2,D3,D5,D6,D7",6,DIODE GEN PURP 100V 200MA SOD80
MMBT2222ALT1GOSCT-ND,ON SEMICONDUCTOR (VA),MMBT2222ALT1G,Q1-Q6,6,TRANS NPN 40V 0.6A SOT23
399-11052-5-ND,KEMET,EC2-5NU,RL-*,6,RELAY GEN PURPOSE DPDT 2A 5V
277-1630-ND,PHOENIX CONTACT,1985276,TB1,1,TERM BLOCK PCB 10POS 3.5MM GREEN
MCP9808-E/MS-ND,MICROCHIP TECHNOLOGY,MCP9808-E/MS,IC3,1,IC TEMP SENSOR DGTL I2C 8MSOP
399-1170-1-ND,KEMET (VA),C0805C104K5RACTU,"C1,C2,C6,C11",4,CAP CER 0.1UF 50V 10% X7R 0805
SMAJ5.0CABCT-ND,BOURNS INC (VA),SMAJ5.0CA,TVS2,1,TVS DIODE 5VWM SMD
311-1.00KHRCT-ND,YAGEO (VA),RC0603FR-071KL,"R2,5,7,8,11,13,16,17",8,RES SMD 1K OHM 1% 1/10W 0603
311-10.0KHRCT-ND,YAGEO (VA),RC0603FR-0710KL,"1,6,10,12,15,18",6,RES SMD 10K OHM 1% 1/10W 0603
718-2025-1-ND,VISHAY SPRAGUE (VA),T55B107M6R3C0100,C9,1,CAP TANT POLY 100UF 6.3V 1411
311-22.0KHRCT-ND,YAGEO (VA),RC0603FR-0722KL,R14,1,RES SMD 22K OHM 1% 1/10W 0603
507-1809-1-ND,BEL FUSE INC (VA),0ZCJ0200FF2C,"PTC1,2,3",3,PTC RESTTBLE 2.00A 6V CHIP 1206
399-1130-1-ND,KEMET (VA),C0805C331J5GACTU,C5,1,CAP CER 330PF 50V 5% NP0 0805
587-1287-1-ND,TAIYO YUDEN (VA),UMK212B7224KG-T,"C7,C10",2,CAP CER 0.22UF 50V 10% X7R 0805
399-1163-1-ND,KEMET (VA),C0805C223K5RACTU,C8,1,CAP CER 0.022UF 50V 10% X7R 0805
507-1806-1-ND,BEL FUSE INC (VA),0ZCJ0100FF2E,PTC4,1,PTC RESTTBLE 1.0A 6V CHIP 1206
445-4029-1-ND,TDK CORPORATION (VA),C3216X7R1E335K160AC,C3,1,CAP CER 3.3UF 25V 10% X7R 1206
311-4.70KHRCT-ND,YAGEO (VA),RC0603FR-074K7L,"R3,R4,R9",3,RES SMD 4.7K OHM 1% 1/10W 0603
SMAJ45CABCT-ND,BOURNS INC (VA),SMAJ45CA,TVS1,1,TVS DIODE 45VWM SMD
